时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下
2018-11-08 15:59:20.366,18.139848,25.387626,15.850881999999999,16.881581333333333,17.604600666666666,22.732026666666666,22.355175,19.75083,14.703128,15.519529,15.538359,22.493996,17.170673999999998,15.504362,14.87761,18.134519,16.870134,15.640091,19.120326000000002,17.557351999999998,16.136124,22.456509,23.103007,22.636564
2018-11-08 16:00:20.349,17.724404999999997,25.539295000000003,15.857153000000002,16.934842999999997,17.601348333333334,22.490796333333336,22.230173999999998,19.644999,14.702132999999998,15.515670000000002,15.468905,22.545176,17.175628,15.510301,14.88553,18.216473,16.920433,15.667623,19.127102999999998,17.557351999999998,16.11959,22.289819,22.804976,22.377594000000002
2018-11-08 16:01:20.349,17.100755,25.443139000000002,15.864084333333333,16.976652333333334,17.576780333333332,22.179996333333335,21.870675,20.009635,14.704122,15.449098999999999,15.467913000000001,22.042588000000002,17.181573,15.51723,14.89345,18.227335,16.949451999999997,15.75317,19.087410000000002,17.506807000000002,16.136124,21.949495000000002,22.500194,22.0903
2018-11-08 16:02:20.349,16.867371,25.166566,15.870026333333335,16.95024033333333,17.557464999999997,22.107288333333333,21.806721,19.713307999999998,14.703128,15.373844,15.418303,22.062037,17.1895,15.522179000000001,14.8984,18.247083,16.870134,15.733504,19.137752,17.472436,16.062207,21.916752,22.484762,21.920351
2018-11-08 16:03:20.349,18.42359,25.162601000000002,15.876627000000001,16.997225666666665,17.576914000000002,22.185201666666668,21.78831,19.684445,14.705117000000001,15.408577,15.388537,22.183845,17.195444000000002,15.529107000000002,14.90533,18.305339,16.923335,15.763003,19.132911,17.522981,16.07485,22.000097,22.574461,21.981047
2018-11-08 16:04:20.349,17.891938,25.332113,15.881907666666669,17.04794766666667,17.554521333333337,22.140782333333334,21.835791,19.494912,14.709095000000001,15.362267000000001,15.300231,22.004715,17.198417000000003,15.536036,14.911270000000002,18.371495,17.014260999999998,15.758087,19.06224,17.538145,16.063179,21.879048,22.555170999999998,21.988128
2018-11-08 16:05:20.349,16.633018,24.736342,15.886198999999998,17.023753666666668,17.561721666666667,21.663745666666667,21.370670999999998,19.505495,14.704122,15.314027,15.364723999999999,21.480632,17.205351999999998,15.539005,14.91424,18.311264,16.988144000000002,15.771853,19.099028,17.496698000000002,16.089439000000002,21.380964000000002,22.126932999999998,21.48334
2018-11-08 16:06:20.349,16.87415,24.710568,15.891809666666667,17.074028666666667,17.531223666666666,21.757135333333334,21.466601999999998,19.616135999999997,14.700144,15.249385,15.271457,21.578898000000002,17.208325,15.545933999999999,14.921170000000002,18.35076,17.034575,15.836751000000001,19.02642,17.460304999999998,16.106946,21.534755,22.149116,21.587535
2018-11-08 16:07:20.349,16.30473,24.855298,15.897421,17.089924999999997,17.535130666666664,21.636643333333335,21.372609,19.447769,14.701139000000001,15.262892,15.290308999999999,21.601417,17.21526,15.550882999999999,14.926120000000001,18.380382,17.012327,15.877066000000001,19.076760999999998,17.442109,16.086522,21.503004999999998,21.982257999999998,21.424667000000003
2018-11-08 16:08:20.349,17.707942000000003,24.881072,15.904022,17.12903233333333,17.517698666666664,21.635209,21.338694,19.657506,14.701139000000001,15.257104,15.238715,21.571732,17.219224,15.557812,14.93503,18.44555,17.069397,15.87215,19.072889,17.421891,16.058316,21.453395,22.048807999999998,21.403423999999998
2018-11-08 16:09:20.349,18.474915,25.088252999999998,15.909633333333332,17.18948933333333,17.538444666666667,21.688846666666667,21.370670999999998,19.779692999999998,14.709095000000001,15.328498999999999,15.285348,21.657715,17.226159,15.561770999999998,14.940970000000002,18.523554999999998,17.121632,15.923281,19.068048,17.472436,16.07485,21.526817,22.059418,21.480304999999998
2018-11-08 16:10:20.349,16.570072,25.404478,15.916234000000001,17.216020666666665,17.530201,21.722385000000003,21.386175,19.696953,14.716056,15.334288,15.217878,21.630078,17.231113,15.571669,14.945920000000001,18.516643,17.182572,15.948847,19.039005,17.483556,16.068042000000002,21.554599,22.100891,21.511665
2018-11-08 16:11:20.349,16.970021,25.626529,15.924156000000002,17.258486333333334,17.53961,21.739869666666667,21.459819,19.704649,14.726996,15.415331,15.33595,21.652597,17.240029999999997,15.576618,14.955820000000001,18.520592,17.209656,16.045211,19.057399,17.435032999999997,16.126398000000002,21.592303,22.109572,21.517734
2018-11-08 16:12:20.349,17.337045,25.723677,15.931087,17.234219333333332,17.541447666666667,21.752037333333334,21.394896,19.702725,14.734952,15.400859,15.288325,21.631101,17.245975,15.585526000000002,14.96176,18.515655,17.210623000000002,15.976379999999999,19.042877999999998,17.501752,16.079713,21.579404,22.133684,21.543024
2018-11-08 16:13:20.349,17.149175,25.654286,15.941649,17.288475333333334,17.55311,21.820061666666664,21.438501000000002,19.707535999999998,14.744897,15.426908,15.362739999999999,21.633148000000002,17.255882999999997,15.596414000000001,14.97265,18.555151000000002,17.248348,16.061926999999997,19.060304000000002,17.477491,16.121535,21.661757,22.168406,21.630022
2018-11-08 16:14:20.349,16.790867000000002,25.458008,15.949240666666668,17.288245333333336,17.54150866666667,21.70156366666667,21.243732,19.644037,14.752853,15.378668,15.333966,21.461184,17.2648,15.603342000000001,14.979579999999999,18.567988,17.233838000000002,16.062910000000002,19.075793,17.459294,16.089439000000002,21.547654,22.077742999999998,21.479294
