时间,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-09-23 15:00:00.344,26.023391666666665,25.36945366666667,25.19510633333333,22.94674433333333,26.168718,25.135691,25.350225,24.774576999999997,25.36945366666667,25.19510633333333,22.94674433333333,25.135691,25.350225,24.774576999999997
2018-09-23 15:01:00.344,26.08040170568744,25.133905490087056,24.613177463283257,21.107246416990712,26.246607675417504,25.758200518071543,25.627791717025794,22.5923943565715,25.099515823714228,24.5884980795862,21.107190493581786,25.712902220491884,25.59201724607803,22.59180124539439
2018-09-23 15:02:00.344,26.121966095098045,24.94605126264607,24.327916335449753,20.746223628395025,26.31853353250841,25.95814583813118,25.712744491517768,22.062175511529848,24.876673154072886,24.278088791242794,20.746018071181165,25.855429857316118,25.631068786200895,22.059765425237686
2018-09-23 15:03:00.344,26.151305145228566,24.77848540125692,24.07107168722806,20.521172928301713,26.382453994556798,26.03211384620091,25.724311883268747,21.758925770191127,24.678411012194594,23.998547052774793,20.520728526947163,25.872738598910292,25.59566326416085,21.7532303858573
2018-09-23 15:04:00.344,26.171096471030864,24.628980017765127,23.84497494574888,20.334241975705826,26.438675128443005,26.064084105806117,25.70787882677136,21.533877094249817,24.502816641197192,23.752703372346783,20.333497874251805,25.85404582517135,25.535584642384638,21.523575371571102
2018-09-23 15:05:00.344,26.183813936647603,24.503581142443668,23.659667872946525,20.26108430715747,26.48817708758692,26.08142156369352,25.684636620563833,21.415595155183286,24.357081994261506,23.551650507022156,20.260014388213673,25.822592276969026,25.46931696536333,21.399660254695338
2018-09-23 15:06:00.344,26.191556106471616,24.404019487672397,23.515517495152586,20.198970872781267,26.53204696861915,26.094182748355703,25.66365734460971,21.32359687654077,24.241025694232107,23.394523207337677,20.197577215183525,25.791195515579478,25.408545100053786,21.30133265580936
2018-09-23 15:07:00.344,26.195743141707606,24.3229609164971,23.398480040390425,20.00909705337928,26.57124167503579,26.10555117921688,25.646398542569372,21.152285219621227,24.14684455047058,23.26702833580923,20.007400278885406,25.76350885061192,25.355305405641065,21.123314333204995
2018-09-23 15:08:00.344,26.19736343829932,24.25512538120083,23.300820463101598,19.926077770615922,26.606561922768133,26.116599817748828,25.632991662860327,21.060325730174206,24.067019952409545,23.15985158411914,19.92410605806971,25.73820454589989,25.30805586531769,21.02451882769433
2018-09-23 15:09:00.344,26.19713979352951,24.197558226190356,23.21845188735843,19.840315860817064,26.638667584637552,26.12774346500835,25.62322793398105,20.973170985283353,23.99965543902496,23.06966120675349,19.83809971963392,25.71518883751524,25.26632459504841,20.930565530895297
2018-09-23 15:10:00.344,26.195599296833016,24.148091826666988,23.14812492714246,19.759851905966116,26.66809624866296,26.13910168778045,25.616639115509926,20.894202832007576,23.941675868102838,22.992532180994765,19.75742109142665,25.695249126221572,25.230203144453615,20.844951828739813
2018-09-23 15:11:00.344,26.193041345625634,24.10315157441217,23.084011866907304,19.631115397258824,26.695268705024453,26.15040415684339,25.61203953393125,20.78428232346024,23.88912524473131,22.922359440271073,19.628496908084596,25.677550994187502,25.1980849878885,20.728616346372696
2018-09-23 15:12:00.344,26.18994052844958,24.06736611886567,23.03499798190795,19.73816123271346,26.720570220362536,26.16236156107306,25.61102947304163,20.84310235797199,23.846299833715754,22.86777817457281,19.735378202697863,25.662984077620024,25.17174588222472,20.78130531328487
2018-09-23 15:13:00.344,26.18661480461643,24.039204443768497,22.996967958279487,19.647747640730483,26.744312417405443,26.175002901638948,25.61296328137225,20.770734251467964,23.811263476092414,22.824364897312954,19.644818678838263,25.650353139102062,25.149586364807305,20.703112221420426
2018-09-23 15:14:00.344,26.18321409681595,24.015649641285826,22.964970759989402,19.607322743257285,26.766735459179237,26.188034088571097,25.6168268098072,20.73264174305487,23.78172151052303,22.787667103017878,19.60426331218522,25.638834699416325,25.130173271241134,20.659493182207783
2018-09-23 15:15:00.344,26.17987417428612,23.996461208448345,22.939347978553236,19.618005954363667,26.78803934179652,26.20143262395023,25.622531255987447,20.73271258106333,23.75587241490759,22.75690002815898,19.614827399148997,25.62866139225384,25.113583227790738,20.654315492643423
2018-09-23 15:16:00.344,26.17652492421396,23.977269957593506,22.912524226747376,19.482607997038166,26.80835788710927,26.214620083174246,25.628466241554516,20.631809752690707,23.730790946340182,22.725511928373315,19.479319137206907,25.62146948815411,25.09991999160175,20.548449125914665
2018-09-23 15:17:00.344,26.17304332472596,23.956075403594635,22.88224583419094,19.419673022441295,26.82778574899848,26.227208293793442,25.633870179642,20.57923084349585,23.70413487670632,22.690987880546224,19.41628149150362,25.61419806106826,25.086325404638032,20.49118953030529
2018-09-23 15:18:00.344,26.169354729254117,23.933287695683862,22.84981928860532,19.360557091324814,26.846401906985637,26.239137976648916,25.638734675313756,20.530308385534354,23.676573121263196,22.65482819202896,19.35707038100456,25.607011759235828,25.072996755567303,20.437852124916663
2018-09-23 15:19:00.344,26.1655298091749,23.91196097834351,22.820462947391047,19.367833105962017,26.864294185253453,26.25078645070634,25.643977625083348,20.52922027444481,23.65089267345047,22.62206373046254,19.364258678826495,25.59973006443036,25.060367506509944,20.432583933755506
2018-09-23 15:20:00.344,26.16173688784284,23.894832095808226,22.798063773885733,19.38457722882493,26.881559005792518,26.26261298430355,25.650468271815665,20.537610559382145,23.628770139154916,22.595827499792446,19.380920656231165,25.59423229566807,25.05039788517248,20.437011221729552
