时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,301 <twi_上> (C),302 <twi_中> (C),303 <twi_下> (C),304 <ta_上> (C),305 <ta_中> (C),306 <ta_下> (C),307 <tpo_上> (C),308 <tpo_中> (C),309 <tpo_下> (C),310 <tpi_上> (C),311 <tpi_中> (C),312 <tpi_下> (C)
2018-09-23 15:00:00.344,35.312486,41.132444,26.023391666666665,25.36945366666667,25.19510633333333,22.94674433333333,20.250507,25.726433,26.168718,25.135691,25.350225,24.774576999999997,26.851781,25.843814000000002,25.374579999999998,26.063341,25.275971,24.769049,25.880568,25.267485999999998,24.437265,23.824753,23.036456,21.979024
2018-09-23 15:01:00.344,34.738224,41.322773,26.006228000000004,25.310977333333337,25.114621333333332,22.79975566666667,20.313492,25.676404,26.165735,25.070085,25.332366,24.717254999999998,26.835928000000003,25.829956,25.3528,26.014958,25.228573,24.689401,25.865079,25.156287,24.322498,23.709657,22.914929,21.774681
2018-09-23 15:02:00.344,34.346990999999996,41.427851000000004,25.992035666666666,25.351114666666664,25.064766333333335,22.681367999999996,20.322213,25.624451,26.161757,25.057542,25.388921,24.568832999999998,26.823047999999996,25.816098999999998,25.33696,25.961639,25.306924,24.784781,25.76246,25.072382,24.359457,23.61143,22.707562,21.725112
2018-09-23 15:03:00.344,34.23272,41.447677,25.976523333333333,25.306038333333333,24.994750333333332,22.571146666666667,20.217561,25.585005,26.159768,25.052718,25.259935000000002,24.46852,26.810168,25.802242,25.31716,26.013970999999998,25.232442000000002,24.671702,25.720832,25.016783,24.246636,23.477483,22.63426,21.601697
2018-09-23 15:04:00.344,36.8474,41.569607,25.959690333333338,25.29142,24.930595,22.471271,20.087715,25.458969,26.161757,25.027634,25.246044,24.422458,26.795306,25.789375,25.29439,26.027795,25.212129,24.634335999999998,25.698565,24.939954,24.153266000000002,23.43581,22.551313,21.42669
2018-09-23 15:05:00.344,35.302802,41.639989,25.945827666666663,25.25864466666667,24.854450333333336,22.374666,20.085777,25.394509,26.157779,25.002549,25.2262,24.31498,26.783416,25.775517,25.27855,25.955714,25.19375,24.62647,25.587234,24.878289000000002,24.097828,23.308809,22.425928,21.389260999999998
2018-09-23 15:06:00.344,35.336696,41.567625,25.931965333333334,25.238362,24.821806,22.313072666666667,20.055738,25.365645999999998,26.15579,24.961062,25.092253,24.200337,26.770536,25.76166,25.2637,26.066303,25.155058,24.493725,25.563999,24.883344,24.018075,23.204628,22.419176,21.315414
2018-09-23 15:07:00.344,33.020283,41.369365,25.919422,25.207133666666664,24.774484333333334,22.164111000000002,19.829960999999997,25.338707,26.15579,24.934048,25.219255,24.120496,26.755674,25.753742000000003,25.24885,25.841176,25.174404,24.605821,25.523339,24.750916,24.049198,23.163947,22.181909,21.146476999999997
2018-09-23 15:08:00.344,35.022934,41.239504,25.904569,25.12765866666666,24.706321666666668,22.053983,19.783448999999997,25.242497,26.153801,24.951414,25.145832000000002,24.058057,26.742793,25.740873999999998,25.23004,25.769095999999998,25.125072,24.488808,25.402327,24.729687,23.986951,22.995273,22.096069,21.070607
2018-09-23 15:09:00.344,34.157184,41.303939,25.891698,25.093904666666663,24.642167333333333,21.97368733333333,19.706898000000002,25.220369,26.150817,24.919576,25.129957,23.966956,26.734866999999998,25.728997,25.21123,25.711827,25.109595000000002,24.460292000000003,25.399422,24.629607999999998,23.897472,22.952609,22.012157000000002,20.956296
2018-09-23 15:10:00.344,33.780477000000005,41.488321,25.878825333333328,25.067630666666663,24.617028,21.895173999999997,19.633254,25.172264000000002,26.148827999999998,24.874229999999997,25.022799,23.926012,26.722977,25.717119,25.196379999999998,25.75626,25.070903,24.375729,25.366507000000002,24.662968,23.821609,22.821638,21.9784,20.885483999999998
2018-09-23 15:11:00.344,33.775635,41.584477,25.865953333333334,25.099277333333333,24.54262866666667,21.82117266666667,19.487904,25.125121,26.146839,24.891597,25.142854999999997,23.84003,26.713069,25.706231,25.17856,25.902395000000002,24.955794,24.439643,25.311325,24.515376,23.801185,22.838506,21.856873,20.768139
2018-09-23 15:12:00.344,35.241792,41.574564,25.853081333333336,25.099146,24.50187366666667,21.769208333333335,19.686549,25.112613,26.145845,24.892561999999998,25.130948999999998,23.758142000000003,26.701179999999997,25.694354,25.163710000000002,25.884622,24.97514,24.437676,25.273569000000002,24.466853,23.765199,22.767067,21.80479,20.735768
2018-09-23 15:13:00.344,33.349539,41.405051,25.839879333333332,24.994902666666665,24.438610999999998,21.677308333333333,19.543136999999998,25.035645000000002,26.143856,24.870371,25.004939999999998,23.642475,26.691271999999998,25.681486,25.14688,25.680229999999998,24.985781,24.318697,25.169983,24.450679,23.695171,22.601370000000003,21.737275,20.693279999999998
2018-09-23 15:14:00.344,32.938937,41.363417,25.828327333333334,24.950417,24.383064333333333,21.618435,19.512129,24.98754,26.140872,24.831779,24.951361,23.664994,26.682353999999997,25.672578,25.13005,25.749348,24.86777,24.234133,25.169014999999998,24.416307999999997,23.56387,22.56962,21.720878,20.564807000000002
2018-09-23 15:15:00.344,35.728898,41.399104,25.814794666666668,25.008104,24.352632333333332,21.552378333333333,19.545075,24.978882000000002,26.137889,24.752666,24.980135,23.546257,26.668483000000002,25.660701,25.1152,25.862899,24.836816,24.324597,25.109961,24.335435999999998,23.6125,22.530924,21.609961,20.51625
