时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-10-01 13:50:00.359,30.159629,39.918101,20.594707000000003,19.945415333333333,19.406574666666668,17.633164666666673,16.579935,20.414679,22.558683,21.412528,21.553076,20.104914,21.144773,20.476128,20.163220000000006,20.039214,20.046747,19.750285,20.044861,19.190966,18.983897,18.197986,18.017198,16.68431,20.594707000000003,19.945415333333333,19.406574666666668,17.633164666666673,22.558683,21.412528,21.553076,20.104914,19.945415333333333,19.406574666666668,17.633164666666673,21.412528,21.553076,20.104914
2018-10-01 13:51:00.359,30.648671000000004,39.929997,20.593718,19.89358233333333,19.368853333333334,17.646312333333334,16.606098,20.365612,22.560672,21.412528,21.442942,20.121291,21.146755,20.473159,20.16124,19.980957,19.980970000000006,19.71882,20.052606,19.182879,18.871075,18.179135,18.066388,16.693414,20.682547134791967,19.80219104709931,19.291706864383837,16.97073913764147,22.647290307468513,22.051168498930434,21.822321795827072,18.513821047087728,19.759962464263737,19.261397572102865,16.97063776008379,22.002866519521014,21.784558208987193,18.513194958012217
2018-10-01 13:52:00.359,29.861362,40.131231,20.592728333333334,19.993943333333334,19.37138033333333,17.614072666666672,16.549896,20.38774,22.565645,21.44919,21.476676,20.110032,21.148736,20.472169,20.15728,20.114256,20.062224,19.80535,20.021627,19.173781,18.918733,18.126548,18.017198,16.698472,20.756840857698396,19.766423025677373,19.230128536809328,16.79371751270424,22.72901986923376,22.26643308631477,21.927642592795443,18.098005115274805,19.676647040144285,19.165374018688905,16.79332967563993,22.159403329698574,21.84318425201171,18.09549018158921
2018-10-01 13:53:00.359,30.281648,39.906206,20.595370666666668,19.913220000000003,19.329609666666666,17.552329333333336,16.522764000000002,20.331939,22.570617,21.407704000000006,21.513388,20.069088,21.156663,20.473159,20.15629,20.116231,19.960657,19.662772,19.998393,19.097963,18.892473000000006,18.088844,17.951612,16.616532,20.820294769605734,19.747573759861805,19.17274452912985,16.707463217212755,22.80220491953768,22.358146036271485,21.966830258745514,17.897698315015358,19.614849235614667,19.07591279828558,16.70659763018596,22.192789936601674,21.83416314251131,17.891790138135807
2018-10-01 13:54:00.359,30.701933,39.23807,20.591740666666666,19.863808666666667,19.290970333333334,17.474680666666668,16.421019,20.209752,22.571612,21.399986,21.459809,19.991294,21.155672,20.4692,20.15035,19.980957,19.971297,19.639172,19.929657,19.084822,18.858432,17.986648000000006,17.853233,16.584160999999998,20.874869309928783,19.73128210105461,19.119631476559324,16.59803002775785,22.867326082266946,22.408842368011623,21.97951355485666,17.73695318448823,19.55756326897021,18.991528566296555,16.596533342489394,22.18675983980807,21.798439837474326,17.7262410767335
2018-10-01 13:55:00.359,29.712228000000003,38.47576,20.59042133333333,19.898154333333334,19.281368333333333,17.446263333333334,16.328964000000006,20.194358,22.572606,21.40481,21.461793,19.976964,21.157654,20.46722,20.14639,20.028352,19.936475,19.729636,19.966445,19.022146,18.855514000000003,18.021375,17.824298000000006,16.493117,20.92215194192228,19.716293761330878,19.072001491960442,16.497259194453488,22.92540734501048,22.44412132773859,21.983123851007186,17.609459613908285,19.50643315746612,18.915838660985795,16.495032733183688,22.16922614485458,21.75576285517361,17.592812162545712
2018-10-01 13:56:00.359,30.381393,38.662124,20.587782,19.920481,19.285617000000002,17.426562,16.396794,20.267478,22.573601,21.438578,21.440957,19.952397,21.159635,20.463261,20.14045,19.988856,19.979036,19.793551,19.946115,19.073702,18.837034,17.945968,17.842624,16.491094,20.96355570118197,19.70546160006955,19.03471660978843,16.50929570148618,22.977543162232102,22.473416019121476,21.986135929845265,17.58089513258151,19.46285161624741,18.85282467249844,16.506291172684392,22.149966950354248,21.715257150419337,17.557519669329537
2018-10-01 13:57:00.359,30.269058,38.688889,20.587452,19.939809333333333,19.257323,17.381037333333335,16.318305,20.249198,22.573601,21.420246,21.450879,19.844919,21.159635,20.463261,20.13946,20.055012,19.997415,19.767001,19.883189,19.033266,18.855514000000003,17.909256,17.75389,16.479966,21.000230177048632,19.69905132482947,19.0067891759128,16.446598103783757,23.024717511022672,22.500291504907764,21.991321294177432,17.509677712193557,19.427985394580432,18.802278353976035,16.442808371874563,22.131726408947237,21.679361883761462,17.47909366304799
2018-10-01 13:58:00.359,31.037,39.058644,20.586462666666666,19.84137233333333,19.221775,17.363127333333335,16.231095,20.253046,22.57559,21.390338,21.407222,19.941138,21.161617,20.461281,20.13649,20.067848,19.841679,19.61459,19.939338,18.997884,18.728103,17.904295,17.778967,16.40612,21.03302640979715,19.695052186759387,18.98399993824195,16.368382391451522,23.06774877861152,22.52585790792872,21.99866999357398,17.432810828761394,19.398312742618522,18.75896295797796,16.363828426541662,22.11667353425429,21.6491003263364,17.394807333279587
2018-10-01 13:59:00.359,30.297142,39.060627,20.58547233333333,19.86673233333333,19.222492666666668,17.348558999999998,16.322181,20.20879,22.576584,21.396126,21.423098,19.850037,21.160626,20.462271,20.13352,20.017491,19.925834,19.656872,19.894806,18.997884,18.774788,17.882467000000005,17.729777,16.433432999999994,21.062698198194987,19.694572380304336,18.96859078392827,16.40793123029212,23.107328975362112,22.550906644205213,22.008889564942518,17.447118852670638,19.37452849945741,18.72487117499927,16.402650292465832,22.10396902083045,21.6240478161474,17.401688650137068
